date,bullish,neutral,bearish,spread
7-13-95,44.0%,18.0%,38.0%,0.06
7-20-95,43.0%,30.0%,27.0%,0.16
7-27-95,41.0%,26.0%,33.0%,0.08
8-3-95,38.0%,34.0%,28.0%,0.1
8-10-95,40.0%,30.0%,30.0%,0.1
8-17-95,36.0%,43.0%,21.0%,0.15
8-24-95,35.0%,28.0%,37.0%,-0.02
8-31-95,38.0%,42.0%,20.0%,0.18
9-7-95,37.0%,36.0%,27.0%,0.1
9-14-95,46.0%,32.0%,22.0%,0.24
9-21-95,46.0%,25.0%,29.0%,0.17
9-28-95,42.0%,27.0%,31.0%,0.11
10-5-95,39.0%,37.0%,24.0%,0.15
10-12-95,41.0%,30.0%,29.0%,0.12
10-19-95,47.0%,32.0%,21.0%,0.26
10-26-95,46.0%,33.0%,21.0%,0.25
11-2-95,47.0%,34.0%,19.0%,0.28
11-9-95,49.0%,35.0%,16.0%,0.33
11-16-95,46.0%,31.0%,23.0%,0.23
11-22-95,48.0%,18.0%,34.0%,0.14
11-30-95,51.0%,30.0%,19.0%,0.32
12-7-95,48.0%,28.0%,24.0%,0.24
12-14-95,51.0%,23.0%,26.0%,0.25
12-21-95,48.0%,28.0%,24.0%,0.24
12-28-95,46.0%,34.0%,20.0%,0.26
1-4-96,55.0%,18.0%,27.0%,0.28
1-11-96,#N/A,#N/A,#N/A,#N/A
1-18-96,42.0%,29.0%,29.0%,0.13
1-25-96,36.0%,40.0%,24.0%,0.12
2-1-96,54.0%,31.0%,15.0%,0.39
2-8-96,53.0%,31.0%,16.0%,0.37
2-15-96,54.0%,21.0%,25.0%,0.29
2-22-96,49.0%,22.0%,29.0%,0.2
2-29-96,45.0%,28.0%,27.0%,0.18
3-7-96,44.0%,28.0%,28.0%,0.16
3-14-96,36.0%,35.0%,29.0%,0.07
3-21-96,47.0%,31.0%,22.0%,0.25
3-28-96,45.0%,31.0%,24.0%,0.21
4-4-96,40.0%,43.0%,17.0%,0.23
4-11-96,40.0%,42.0%,18.0%,0.22
4-18-96,36.0%,38.0%,26.0%,0.1
4-25-96,28.0%,40.0%,32.0%,-0.04
5-2-96,48.0%,31.0%,21.0%,0.27
5-9-96,46.0%,38.0%,16.0%,0.3
5-16-96,37.0%,40.0%,23.0%,0.14
5-23-96,51.0%,35.0%,14.0%,0.37
5-30-96,61.0%,29.0%,10.0%,0.51
6-6-96,47.0%,28.0%,25.0%,0.22
6-13-96,49.0%,28.0%,23.0%,0.26
6-20-96,42.0%,32.0%,26.0%,0.16
6-27-96,42.0%,41.0%,17.0%,0.25
7-3-96,32.0%,44.0%,24.0%,0.08
7-11-96,40.0%,35.0%,25.0%,0.15
7-18-96,29.0%,45.0%,26.0%,0.03
7-25-96,30.0%,32.0%,38.0%,-0.08
8-1-96,29.0%,38.0%,33.0%,-0.04
8-8-96,27.0%,42.0%,31.0%,-0.04
8-15-96,43.0%,37.0%,20.0%,0.23
8-22-96,28.0%,46.0%,26.0%,0.02
8-29-96,28.0%,43.0%,29.0%,-0.01
9-5-96,29.0%,35.0%,36.0%,-0.07
9-12-96,26.0%,46.0%,28.0%,-0.02
9-19-96,28.0%,41.0%,31.0%,-0.03
9-26-96,34.0%,39.0%,27.0%,0.07
10-3-96,40.0%,31.0%,29.0%,0.11
10-10-96,38.0%,36.0%,26.0%,0.12
