caldt,prtnam,totret
1998-01-30,1,0.008211
1998-02-27,1,0.066361
1998-03-31,1,0.057816
1998-04-30,1,0.013618
1998-05-29,1,-0.013980
1998-06-30,1,0.039732
1998-07-31,1,-0.007904
1998-08-31,1,-0.141317
1998-09-30,1,0.051766
1998-10-30,1,0.082659
1998-11-30,1,0.060107
1998-12-31,1,0.054255
1999-01-29,1,0.023321
1999-02-26,1,-0.017947
1999-03-31,1,0.032575
1999-04-30,1,0.038545
1999-05-28,1,-0.028950
1999-06-30,1,0.047410
1999-07-30,1,-0.037789
1999-08-31,1,-0.019597
1999-09-30,1,-0.029560
1999-10-29,1,0.075623
1999-11-30,1,0.012710
1999-12-31,1,0.025213
2000-01-31,1,-0.044495
2000-02-29,1,-0.047100
2000-03-31,1,0.094369
2000-04-28,1,-0.007498
2000-05-31,1,-0.003792
2000-06-30,1,0.004234
2000-07-31,1,-0.010844
2000-08-31,1,0.052237
2000-09-29,1,-0.009660
2000-10-31,1,0.002775
2000-11-30,1,-0.054273
2000-12-29,1,0.027031
2001-01-31,1,0.005343
2001-02-28,1,-0.061567
2001-03-30,1,-0.052273
2001-04-30,1,0.064819
2001-05-31,1,0.006959
2001-06-29,1,-0.032583
2001-07-31,1,-0.003439
2001-08-31,1,-0.055341
2001-09-28,1,-0.057069
2001-10-31,1,-0.002333
2001-11-30,1,0.057179
2001-12-31,1,0.011154
2002-01-31,1,-0.018707
2002-02-28,1,-0.001820
2002-03-28,1,0.029178
2002-04-30,1,-0.059043
2002-05-31,1,-0.001131
2002-06-28,1,-0.070325
2002-07-31,1,-0.064096
2002-08-30,1,0.008596
2002-09-30,1,-0.104776
2002-10-31,1,0.079906
2002-11-29,1,0.042086
2002-12-31,1,-0.051881
2003-01-31,1,-0.029727
2003-02-28,1,-0.025989
2003-03-31,1,0.015858
2003-04-30,1,0.080825
2003-05-30,1,0.041688
2003-06-30,1,0.016181
2003-07-31,1,0.007337
2003-08-29,1,0.009492
2003-09-30,1,-0.010028
2003-10-31,1,0.049272
2003-11-28,1,0.007522
2003-12-31,1,0.054502
2004-01-30,1,0.018357
2004-02-27,1,0.023340
2004-03-31,1,-0.017261
2004-04-30,1,-0.009564
2004-05-28,1,0.004265
2004-06-30,1,0.008265
2004-07-30,1,-0.025346
2004-08-31,1,0.012144
2004-09-30,1,0.003420
